epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,0.11397589635418122,0.001,0.11397589635418122,0.09897609651088715,0.09897609651088715
1,0.06528837224805212,0.001,0.06528837224805212,0.07553663551807403,0.07553663551807403
2,0.05391431896083326,0.001,0.05391431896083326,0.06284001618623733,0.06284001618623733
3,0.045760859836296866,0.001,0.045760859836296866,0.05413929224014282,0.05413929224014282
4,0.039581399669040396,0.001,0.039581399669040396,0.046615292131900785,0.046615292131900785
5,0.035448889225631594,0.001,0.035448889225631594,0.043886853754520415,0.043886853754520415
6,0.03369960709508643,0.001,0.03369960709508643,0.040525390207767485,0.040525390207767485
7,0.03174550621489804,0.001,0.03174550621489804,0.034989622235298154,0.034989622235298154
8,0.02837858664388039,0.001,0.02837858664388039,0.029510506987571718,0.029510506987571718
9,0.02560660548799907,0.001,0.02560660548799907,0.02448163628578186,0.02448163628578186
10,0.02244461390627436,0.001,0.02244461390627436,0.021633037924766542,0.021633037924766542
11,0.019224648088979793,0.001,0.019224648088979793,0.01883857250213623,0.01883857250213623
12,0.018852934011269407,0.001,0.018852934011269407,0.018569868057966232,0.018569868057966232
13,0.017007719377527035,0.001,0.017007719377527035,0.016655192524194718,0.016655192524194718
14,0.01635590073349605,0.001,0.01635590073349605,0.015482734143733978,0.015482734143733978
15,0.015645625484905328,0.001,0.015645625484905328,0.015166115015745163,0.015166115015745163
16,0.014760644332202802,0.001,0.014760644332202802,0.014429624006152154,0.014429624006152154
17,0.013908424151006592,0.001,0.013908424151006592,0.013130951300263404,0.013130951300263404
18,0.012838757114417582,0.001,0.012838757114417582,0.012886592745780944,0.012886592745780944
19,0.013127749067652657,0.001,0.013127749067652657,0.011521109193563462,0.011521109193563462
20,0.0117400090198919,0.001,0.0117400090198919,0.01102832704782486,0.01102832704782486
21,0.011346302904098868,0.001,0.011346302904098868,0.010436815023422242,0.010436815023422242
22,0.010749143127531531,0.001,0.010749143127531531,0.00981290303170681,0.00981290303170681
23,0.010262903796665999,0.001,0.010262903796665999,0.008747054636478424,0.008747054636478424
24,0.01067451011748558,0.001,0.01067451011748558,0.009775812551379204,0.009775812551379204
25,0.010343021923586368,0.001,0.010343021923586368,0.00819007381796837,0.00819007381796837
26,0.009697057691077331,0.001,0.009697057691077331,0.0075913935899734495,0.0075913935899734495
27,0.008994593366374632,0.001,0.008994593366374632,0.007640027441084385,0.007640027441084385
28,0.008703123166573694,0.001,0.008703123166573694,0.0069521903991699215,0.0069521903991699215
29,0.009483548576932356,0.001,0.009483548576932356,0.0064143816009163855,0.0064143816009163855
30,0.007833156729094595,0.001,0.007833156729094595,0.006143809109926224,0.006143809109926224
31,0.008187769870105457,0.001,0.008187769870105457,0.00604350995272398,0.00604350995272398
32,0.008279078320252249,0.001,0.008279078320252249,0.005496754497289658,0.005496754497289658
33,0.007792192051209599,0.001,0.007792192051209599,0.005274440534412861,0.005274440534412861
34,0.00752234021874975,0.001,0.00752234021874975,0.005476762354373932,0.005476762354373932
35,0.00711665296904653,0.001,0.00711665296904653,0.005329687520861626,0.005329687520861626
36,0.0074236654194004565,0.001,0.0074236654194004565,0.0050107289105653765,0.0050107289105653765
37,0.006695531735039619,0.001,0.006695531735039619,0.005360190756618977,0.005360190756618977
38,0.00700722586543086,0.001,0.00700722586543086,0.004476496949791908,0.004476496949791908
39,0.006728498812158962,0.001,0.006728498812158962,0.004857478849589825,0.004857478849589825
40,0.007056588110659855,0.001,0.007056588110659855,0.005033432133495807,0.005033432133495807
41,0.006649819157838103,0.001,0.006649819157838103,0.004861642979085446,0.004861642979085446
42,0.006125430568087712,0.001,0.006125430568087712,0.004734667018055916,0.004734667018055916
43,0.006504597097455737,0.001,0.006504597097455737,0.004673426039516926,0.004673426039516926
