epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,508.8569889600063,0.001,20.47073598690446,502.17823471257714,20.338163823257258
1,377.0669565112229,0.001,16.936465540906593,351.66629593460647,16.373665515287424
2,233.13583671640686,0.001,12.7084766305268,201.0517255053108,11.554715615731698
3,119.10503621293296,0.001,8.536547821741724,106.83121163168072,7.886256064897702
4,66.65139720904938,0.001,6.1033571349578,66.73166355085962,6.196581734551324
5,46.52213417856317,0.001,4.905507480396944,50.380394264503764,5.281984187938549
6,35.66466546132469,0.001,4.186355531769271,37.8127069355529,4.657563456782588
7,28.557932047652017,0.001,3.7077645783084834,29.473354268957067,4.219558645177771
8,24.221323527049723,0.001,3.410925719022013,26.247218285077885,3.985836617740584
9,22.17218585649142,0.001,3.280273654512577,24.310994230670694,3.9968450805287303
10,19.91514665054463,0.001,3.142183173920717,23.058117893007065,3.531630268803349
11,18.673414673229487,0.001,2.9656880765507463,19.32208060040886,3.476163110615295
12,17.079434235398615,0.001,2.8401119886168016,18.50276697417836,3.424323965001989
13,15.880524673698119,0.001,2.7601579564274648,16.528361408798784,3.177348949291088
14,14.933066948279508,0.001,2.6634227229345693,15.384519830162143,3.031123408564815
15,14.072464142790519,0.001,2.5629574617734265,14.89227811789807,2.9479407557734736
16,13.351200044708724,0.001,2.496009268996885,13.989436161370925,2.8303266454626015
17,13.062898807112278,0.001,2.498077445724062,15.37841690911187,3.1109894882013767
18,12.617032080611946,0.001,2.457405562555827,13.360803845487995,2.8263510009388866
19,11.788742159911353,0.001,2.3847650108691707,13.619571220727615,2.836810123773269
20,11.789857696084415,0.001,2.3427038993628773,12.836600021079734,2.728044933742947
21,11.237435368930592,0.001,2.297937496527799,12.73592190683624,2.7906081588179976
22,10.976390542629703,0.001,2.286755216010953,12.332359425815536,2.7576928315339266
23,10.75932756075549,0.001,2.2489102432971397,12.362039610191628,2.609479809984749
24,10.291572045246514,0.001,2.2194579865541253,13.8921280272397,2.785388875890661
25,10.339422693378047,0.001,2.184917482613779,12.59538663463828,2.655339370539159
26,10.038912705223627,0.001,2.1833650047195956,12.620447099944691,2.704056633843316
27,9.95600022546278,0.001,2.188532808432269,12.072227928373549,2.6497020721435547
