epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,508.8569889600063,0.001,20.47073598690446,502.17823471257714,20.338163823257258
1,377.0669565112229,0.001,16.936465540906593,351.66629593460647,16.373665515287424
2,233.1376338994171,0.001,12.708560872742266,201.06209818522134,11.555089950561523
3,119.10731737827739,0.001,8.536648115506482,106.82994536411616,7.886212784566997
4,66.65056295955883,0.001,6.103313115359091,66.73040422981168,6.196528517169717
5,46.521573518451895,0.001,4.9054748827458905,50.37963127795561,5.281950609183606
6,35.66436498010122,0.001,4.186343384231946,37.81236712137858,4.657551541740512
7,28.557805725664547,0.001,3.7077660929676917,29.47325819510001,4.219557844562295
8,24.221271125155706,0.001,3.410928489992124,26.247226950563032,3.9858390666820385
9,22.172179171913548,0.001,3.2802780405286667,24.31101010169512,3.9968486126558282
10,19.915265325422258,0.001,3.1422010420276654,23.05878770204238,3.5316894672535084
11,18.673535512327778,0.001,2.965703397343402,19.322578736293462,3.476207191561475
12,17.07956176202733,0.001,2.84012901598455,18.503100242143795,3.424370918744876
13,15.880633655347323,0.001,2.7601689694466605,16.52860615577227,3.1773753460542657
14,14.933122345537592,0.001,2.6634288413605822,15.384776321458228,3.031151712676625
15,14.072507778557462,0.001,2.562958230913239,14.892519538785205,2.947956132300106
16,13.35124934051797,0.001,2.496012900266854,13.98964680860072,2.8303364176809054
17,13.062897832770096,0.001,2.4980786798908245,15.378818959365656,3.1110141189010054
18,12.617095092870871,0.001,2.457412669717712,13.359922880007897,2.8262428472071517
19,11.78875826903541,0.001,2.3847445275392327,13.618794399279135,2.836783585725007
20,11.789428798775925,0.001,2.342636084778021,12.835877383196795,2.7280651846049744
21,11.236999607676692,0.001,2.2978298143705715,12.737768632394296,2.7908689004403575
22,10.977057214860945,0.001,2.2868528694560286,12.334652771184475,2.75775796395761
23,10.760117637114629,0.001,2.2490916060220347,12.362755707752557,2.6096716515811873
24,10.293288056695424,0.001,2.219820867751036,13.894823033592584,2.7855939982849875
25,10.33932993969312,0.001,2.1852677702534677,12.596634605784475,2.6552616637430075
26,10.038685795692468,0.001,2.1834094096263494,12.605148338977202,2.703833356315707
27,9.957595896056562,0.001,2.1891451444788244,12.069632544929599,2.6495061332796825
